,key,val_accuracy,train_accuracy,depth,optimizer,lay_%dropout,lay_%gru,lay_%lstm,lay_%bgru,lay_%blstm,lay_%dense,lay_%conv1d,lay_%cl2d,lay_%pool,window_size,overlap%,batch_size,avg_num_nodes
22,BidirectionalGRU,0.9886363744735718,0.9909420013427734,5,RMSprop,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,200,0,256,300
23,BidirectionalGRU,0.9772727489471436,0.9662576913833618,4,RMSprop,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,400,0,64,336
24,BidirectionalGRU,0.9772727489471436,0.9669383764266968,3,RMSprop,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,200,0,256,500
25,BidirectionalGRU,0.9772727489471436,0.9873188138008118,7,RMSprop,0.14285714285714285,0.0,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,0.0,0.0,200,0,256,225
26,BidirectionalGRU,0.9772727489471436,0.9932065010070801,6,adam,0.16666666666666666,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.0,200,0,256,280
27,BidirectionalGRU,0.9772727489471436,0.9841485619544983,7,RMSprop,0.14285714285714285,0.0,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,0.0,0.0,200,0,256,225
28,BidirectionalGRU,0.9772727489471436,0.99048912525177,5,adam,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,200,0,256,300
29,BidirectionalGRU,0.9772727489471436,0.9954710006713867,4,RMSprop,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,200,0,256,366
30,BidirectionalGRU,0.9659091234207153,0.9682971239089966,6,adam,0.16666666666666666,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.0,200,0,256,280
31,BidirectionalGRU,0.9659091234207153,0.9388587474822998,4,adam,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,200,0,256,275
32,BidirectionalGRU,0.95652174949646,0.9922868013381958,3,adam,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,200,0,64,500
33,BidirectionalGRU,0.95652174949646,0.9895644187927246,5,RMSprop,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,200,0,64,300
34,BidirectionalGRU,0.95652174949646,0.9804900288581848,3,RMSprop,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,200,0,64,500
35,BidirectionalGRU,0.95652174949646,0.9950090646743774,4,RMSprop,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,200,0,64,366
36,BidirectionalGRU,0.95652174949646,0.9909255504608154,5,RMSprop,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,200,0,64,300
37,BidirectionalGRU,0.95652174949646,0.9882032871246338,5,RMSprop,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,200,0,64,300
38,BidirectionalGRU,0.95652174949646,0.9972776770591736,5,adam,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,200,0,64,300
39,BidirectionalGRU,0.95652174949646,0.982758641242981,7,RMSprop,0.14285714285714285,0.0,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,0.0,0.0,200,0,64,225
40,BidirectionalGRU,0.9545454382896423,0.9662576913833618,7,RMSprop,0.14285714285714285,0.0,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,0.0,0.0,400,0,64,210
41,BidirectionalGRU,0.9545454382896423,0.9805725812911987,5,adam,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,400,0,64,300
42,BidirectionalGRU,0.9545454382896423,0.998977541923523,5,RMSprop,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,400,0,64,300
43,BidirectionalGRU,0.9545454382896423,0.96523517370224,5,RMSprop,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,400,0,64,300
44,BidirectionalGRU,0.9545454382896423,0.9918200373649597,7,RMSprop,0.14285714285714285,0.0,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,0.0,0.0,400,0,64,210
45,BidirectionalGRU,0.9545454382896423,0.9628623127937317,4,RMSprop,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,200,0,256,275
46,BidirectionalGRU,0.945652186870575,0.9963701963424683,6,adam,0.16666666666666666,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.0,200,0,64,280
47,BidirectionalGRU,0.945652186870575,0.9854809045791626,3,adam,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,200,0,64,500
48,BidirectionalGRU,0.945652186870575,0.9954627752304077,4,adam,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,200,0,64,366
